iter	Passed	Remaining
335	8575	67987
336	8600	67962
337	8626	67940
338	8646	67872
339	8673	67854
340	8700	67841
341	8725	67813
342	8753	67806
343	8778	67777
344	8807	67778
345	8831	67745
346	8857	67717
347	8883	67698
348	8909	67674
349	8934	67647
350	8959	67618
351	8984	67585
352	9007	67542
353	9031	67503
354	9062	67521
355	9088	67499
356	9114	67478
357	9138	67439
358	9165	67425
359	9192	67415
360	9217	67379
361	9239	67331
362	9263	67290
363	9292	67297
364	9320	67285
365	9346	67264
366	9372	67241
367	9396	67202
368	9415	67134
369	9439	67093
370	9462	67053
371	9485	67011
372	9508	66967
373	9533	66935
374	9560	66925
375	9583	66879
376	9605	66832
377	9629	66794
378	9648	66726
379	9672	66691
380	9698	66668
381	9722	66630
382	9745	66593
383	9770	66561
384	9796	66537
385	9824	66530
386	9850	66506
387	9877	66493
388	9902	66467
389	9928	66445
390	9955	66431
391	9983	66420
392	10007	66385
393	10034	66368
394	10059	66338
395	10084	66314
396	10106	66267
397	10133	66251
398	10157	66217
399	10186	66213
400	10210	66179
401	10236	66158
402	10259	66114
